	Surname	First Name	Published Name	Subjects
0	Bohr	Niels	BOHR N	Electron models,Nuclear physics,Nuclear structure,Quantum theory,Radioactivity,Theoretical physics
1	Born	Max	BORN M	Nuclear physics,Quantum mechanics,Wave mechanics
2	Bragg	William Henry	BRAGG WH	Atomic and molecular physics,Crystallography,X-rays
3	Brillouin	Léon	BRILLOUIN L	Atomic theory,Brillouin scattering,Electric conductivity,Gravity,Nuclear physics,Particles (Nuclear physics),Quantum theory,Radiation,Solid state physics
4	Compton	Arthur Holly	COMPTON AH	Atomic and molecular physics,Cosmic rays,Gamma rays,World War, 1939-1945,X-rays
5	Curie	Marie	CURIE M	Chemical elements,Medical physics,Nuclear physics,Radiation -- Testing,Radioactivity,X-rays
6	de Broglie	Louis	DE BROGLIE L	Quantum mechanics,Quantum theory
7	de Donder	Théophile	DE DONDER T	Thermodynamics
8	Debye	Peter	DEBYE P	Adiabatiac processes,Atomic theory,Electrolytes,Molecular structure,Nuclear physics,Quantum theory,Solid state physics
9	Dirac	Paul	DIRAC PAM	Atomic and molecular physics,Particle physics,Quantum mechanics
10	Ehrenfest	Paul	EHRENFEST P	Statistical mechanics,Quantum mechanics
11	Einstein	Albert	EINSTEIN A	Field theory (Physics),General relativity (Physics),Gravity,Philosophy and science,Photoemission,Photons,Quantum theory,Special relativity (Physics),Statistical mechanics,Theoretical physics
12	Fowler	Ralph Howard	FOWLER RH	Statistical physics
13	Guye	Charles-Eugène	GUYE CE	Electromagnetism
14	Heisenberg	Werner	HEISENBERG W	Atomic and molecular physics,Ferromagnetism,Nuclear physics,Quantum mechanics,Radiation -- Testing
15	Henriot	Émile	HENRIOT E	Chemistry
16	Herzen	Édouard	HERZEN E	Special relativity (Physics),Chemistry
17	Knudsen	Martin	KNUDSEN M	Thermodynamics
18	Kramers	Hendrik Anthony	KRAMERS HA	Electromagnetism,Statistical mechanics,Quantum mechanics
19	Langevin	Paul	LANGEVIN P	Electromagnetism
20	Langmuir	Irving	LANGMUIR I	Atomic and molecular physics,Physical chemistry
21	Lorentz	Hendrik Antoon	LORENTZ HA	Atomic theory,Electricity,Electromagnetism,Optics,Quantum physics
22	Pauli	Wolfgang	PAULI WE	Neutrinos,Quantum mechanics,Quantum physics,Solid state physics,Theoretical physics
23	Piccard	Auguste	PICCARD A	[]
24	Planck	Max	PLANCK M	Quantum mechanics,Quantum physics,Thermodynamics
25	Richardson	Owen	RICHARDSON OW	Ions,Thermal physics,Thermionic emissions
26	Schrödinger	Erwin	SCHRÖDINGER E	Atomic theory,Thermodynamics,Wave mechanics,Wave-motion, Theory of
27	Verschaffelt	Jules-Émile	VERSCHAFFELT JE	Thermodynamics
28	Wilson	Charles Thomson Rees	WILSON CTR	Cloud chamber,Meteorology
